SKU|Producto|Stock|PVP|Rubro
FV49-4|1/4 KG TORRADO BRASIL - COLOMBIA (EN GRANO O MOLIDO) LISTA VERDE|100|8470|01 LISTA VERDE FRIKAF
FV6-2|1/2 KG BRACOL (50%COL/50%BR) LISTA VERDE|100|29040|01 LISTA VERDE FRIKAF
FV8-4|1/4 KG COSTA RICA FKF LISTA VERDE|100|19965|01 LISTA VERDE FRIKAF
FV9-1|1 KG HONEY CLASSIC FKF LISTA VERDE|100|50820|01 LISTA VERDE FRIKAF
FV9-2|1/2 KG HONEY CLASSIC FKF LISTA VERDE|100|26620|01 LISTA VERDE FRIKAF
FV6-4|1/4 KG BRACOL (50%COL/50%BR) LISTA VERDE|99|14520|01 LISTA VERDE FRIKAF
FV4-4|COLOMBIA EXCELSO 1/4 KG LISTA VERDE|99|16335|01 LISTA VERDE FRIKAF
FV5-1|ROBUSTA VIETNAM 1 KG LISTA VERDE|99|53240|01 LISTA VERDE FRIKAF
FV5-2|ROBUSTA VIETNAM 1/2 KG LISTA VERDE|99|27830|01 LISTA VERDE FRIKAF
FV5-4|ROBUSTA VIETNAM 1/4 KG LISTA VERDE|99|13915|01 LISTA VERDE FRIKAF
FV7-2|MOKA 1/2 KG FKF LISTA VERDE|99|27830|01 LISTA VERDE FRIKAF
FV7-4|MOKA 1/4 KG FKF LISTA VERDE|99|13915|01 LISTA VERDE FRIKAF
FV8-1|1 KG COSTA RICA FKF LISTA VERDE|99|77440|01 LISTA VERDE FRIKAF
FV8-2|1/2 KG COSTA RICA FKF LISTA VERDE|99|39930|01 LISTA VERDE FRIKAF
M140N|MESA RECTANGULAR DE 1M40 X 0,75 MTS EN PLÁSTICO NEGRO MAX GARDEN|99|249744|MASCARDI SINCRO PRECIOS
FV16-2|1/2 KG CARACOLILLO F. ROJOS LISTA VERDE|99|32670|01 LISTA VERDE FRIKAF
FV17-1|1 KG COLIBRI LISTA VERDE|99|62920|01 LISTA VERDE FRIKAF
FV17-2|1/2 KG COLIBRI LISTA VERDE|99|32670|01 LISTA VERDE FRIKAF
FV17-4|1/4 KG COLIBRI LISTA VERDE|99|16335|01 LISTA VERDE FRIKAF
FV14-4|1/4 KG AMABILE SOROCABANA FKF LISTA VERDE|99|16335|01 LISTA VERDE FRIKAF
FV11-2|1/2 KG CAFÉ TOSTADO BOURBON LISTA VERDE|99|31460|01 LISTA VERDE FRIKAF
FV13-2|1/2 KG PEDRA AZUL FKF LISTA VERDE|99|31460|01 LISTA VERDE FRIKAF
FV13-4|1/4 KG PEDRA AZUL FKF LISTA VERDE|99|15730|01 LISTA VERDE FRIKAF
FV12-4|1/4 KG COLOMBIA ORGANICO LISTA VERDE|99|16940|01 LISTA VERDE FRIKAF
FV0-2|1/2 KG DESCAFEINADO COLOMBIA FKF LISTA VERDE|99|39930|01 LISTA VERDE FRIKAF
FV49-1|1 KG TORRADO BRASIL - COLOMBIA (EN GRANO O MOLIDO) LISTA VERDE|99|30250|01 LISTA VERDE FRIKAF
FV15-4|1/4 KG RUBI HONEY FKF LISTA VERDE|99|16335|01 LISTA VERDE FRIKAF
FV3-2|TOSTADO ITALIANO 1/2 KG LISTA VERDE|99|26620|01 LISTA VERDE FRIKAF
FV25-4|1/4 KG CAFÉ HONDURAS SPECIALTY FKF LISTA VERDE|99|16940|01 LISTA VERDE FRIKAF
FV27-2|1/2 KG CAFÉ COLOMBIA SUPREMO LISTA VERDE|99|33880|01 LISTA VERDE FRIKAF
FV21-1|1 KG ESPECIALIDAD PERÚ LISTA VERDE|99|65340|01 LISTA VERDE FRIKAF
FV22-2|1/2 KG BLACK PREMIUM (50% ITALIANO-50%) LISTA VERDE|99|26620|01 LISTA VERDE FRIKAF
FV22-4|1/4 KG BLACK PREMIUM (50% ITALIANO-50%) LISTA VERDE|99|13310|01 LISTA VERDE FRIKAF
FV24-2|1/2 KG CAFE GUATEMALA (84 PTS SCA) LISTA VERDE|99|33880|01 LISTA VERDE FRIKAF
FV24-4|1/4 KG CAFE GUATEMALA (84 PTS SCA) LISTA VERDE|99|16940|01 LISTA VERDE FRIKAF
C4313:2|2 MESAS CUADRADAS 75 CM X 75 CM COLOMBRARO  BLANCO|99|14999|General
C4321BL|SILLA NINA BLANCO|99|22730|COLOMBRARO SINCRO STOCK
FV21-2|1/2 KG ESPECIALIDAD PERÚ LISTA VERDE|98|33880|01 LISTA VERDE FRIKAF
FV13-1|1 KG PEDRA AZUL FKF LISTA VERDE|98|60500|01 LISTA VERDE FRIKAF
FV0-1|1 KG DESCAFEINADO COLOMBIA FKF LISTA VERDE|98|77440|01 LISTA VERDE FRIKAF
FV15-1|1 KG RUBI HONEY FKF LISTA VERDE|98|62920|01 LISTA VERDE FRIKAF
FV16-4|1/4 KG CARACOLILLO F. ROJOS LISTA VERDE|98|16335|01 LISTA VERDE FRIKAF
FV4-2|COLOMBIA EXCELSO 1/2 KG LISTA VERDE|98|32670|01 LISTA VERDE FRIKAF
